Spotify URI,Voter ID,Created,Points Assigned,Comment,Round ID
spotify:track:6WpZwkzyjINc6wDghg8Gzv,9b48f7724d7444c8ad50da51b89b7142,2026-01-17T05:45:05Z,5,,cac0a97113f342e387a36a7edf756fa1
spotify:track:7GRv55NwkjxU2ysJLwzC9c,9b48f7724d7444c8ad50da51b89b7142,2026-01-17T05:45:05Z,5,,cac0a97113f342e387a36a7edf756fa1
spotify:track:0fJHz1wceiNJFs6jEWIvlJ,4a705869f6d84f0584387a24c37b961a,2026-01-17T06:09:17Z,-2,,cac0a97113f342e387a36a7edf756fa1
spotify:track:0mwbc2AqVHIziVGg3syEI9,4a705869f6d84f0584387a24c37b961a,2026-01-17T06:09:17Z,3,,cac0a97113f342e387a36a7edf756fa1
spotify:track:14WaaiKH1dCUkXhwr4l0DG,4a705869f6d84f0584387a24c37b961a,2026-01-17T06:09:17Z,-1,,cac0a97113f342e387a36a7edf756fa1
spotify:track:1Q9b6CeMcDuO0uq5OJCrqu,4a705869f6d84f0584387a24c37b961a,2026-01-17T06:09:17Z,1,,cac0a97113f342e387a36a7edf756fa1
spotify:track:2dKkVF2m160z0RNDN2dddc,4a705869f6d84f0584387a24c37b961a,2026-01-17T06:09:17Z,4,,cac0a97113f342e387a36a7edf756fa1
spotify:track:2LHNTC9QZxsL3nWpt8iaSR,4a705869f6d84f0584387a24c37b961a,2026-01-17T06:09:17Z,1,,cac0a97113f342e387a36a7edf756fa1
spotify:track:3Y1EvIgEVw51XtgNEgpz5c,4a705869f6d84f0584387a24c37b961a,2026-01-17T06:09:17Z,2,,cac0a97113f342e387a36a7edf756fa1
spotify:track:4gVTozEmzwAUXpwj3jEetX,4a705869f6d84f0584387a24c37b961a,2026-01-17T06:09:17Z,1,,cac0a97113f342e387a36a7edf756fa1
spotify:track:4MpketOLD5KhtgWWOBuk9w,4a705869f6d84f0584387a24c37b961a,2026-01-17T06:09:17Z,4,,cac0a97113f342e387a36a7edf756fa1
spotify:track:5hyq3LBlCfjRQAFkdQwe8o,4a705869f6d84f0584387a24c37b961a,2026-01-17T06:09:17Z,-1,,cac0a97113f342e387a36a7edf756fa1
spotify:track:5pWHXtj4OyOLVoQZHpuXBK,4a705869f6d84f0584387a24c37b961a,2026-01-17T06:09:17Z,3,,cac0a97113f342e387a36a7edf756fa1
spotify:track:5tFzUj1jV09bo4wBQWSbDl,4a705869f6d84f0584387a24c37b961a,2026-01-17T06:09:17Z,-1,,cac0a97113f342e387a36a7edf756fa1
spotify:track:6HZ9VeI5IRFCNQLXhpF4bq,4a705869f6d84f0584387a24c37b961a,2026-01-17T06:09:17Z,1,,cac0a97113f342e387a36a7edf756fa1
spotify:track:6sD2mCUjmi0S3PTKxdW1Lc,4a705869f6d84f0584387a24c37b961a,2026-01-17T06:09:17Z,-1,,cac0a97113f342e387a36a7edf756fa1
spotify:track:6WpZwkzyjINc6wDghg8Gzv,4a705869f6d84f0584387a24c37b961a,2026-01-17T06:09:17Z,3,,cac0a97113f342e387a36a7edf756fa1
spotify:track:7GRv55NwkjxU2ysJLwzC9c,4a705869f6d84f0584387a24c37b961a,2026-01-17T06:09:17Z,2,,cac0a97113f342e387a36a7edf756fa1
spotify:track:0fJHz1wceiNJFs6jEWIvlJ,e402c4fafcf24aff8dddd3e672e29a22,2026-01-17T13:47:23Z,-2,,cac0a97113f342e387a36a7edf756fa1
spotify:track:0mwbc2AqVHIziVGg3syEI9,e402c4fafcf24aff8dddd3e672e29a22,2026-01-17T13:47:23Z,1,,cac0a97113f342e387a36a7edf756fa1
spotify:track:10wJ35whDsMVQ04fhkR5QS,e402c4fafcf24aff8dddd3e672e29a22,2026-01-17T13:47:23Z,1,,cac0a97113f342e387a36a7edf756fa1
spotify:track:14WaaiKH1dCUkXhwr4l0DG,e402c4fafcf24aff8dddd3e672e29a22,2026-01-17T13:47:23Z,2,,cac0a97113f342e387a36a7edf756fa1
spotify:track:1Q9b6CeMcDuO0uq5OJCrqu,e402c4fafcf24aff8dddd3e672e29a22,2026-01-17T13:47:23Z,2,,cac0a97113f342e387a36a7edf756fa1
spotify:track:2dKkVF2m160z0RNDN2dddc,e402c4fafcf24aff8dddd3e672e29a22,2026-01-17T13:47:23Z,5,get ur sticks up for the mf-ing princess!,cac0a97113f342e387a36a7edf756fa1
spotify:track:2LHNTC9QZxsL3nWpt8iaSR,e402c4fafcf24aff8dddd3e672e29a22,2026-01-17T13:47:23Z,3,,cac0a97113f342e387a36a7edf756fa1
spotify:track:3Y1EvIgEVw51XtgNEgpz5c,e402c4fafcf24aff8dddd3e672e29a22,2026-01-17T13:47:23Z,2,,cac0a97113f342e387a36a7edf756fa1
spotify:track:4gVTozEmzwAUXpwj3jEetX,e402c4fafcf24aff8dddd3e672e29a22,2026-01-17T13:47:23Z,-3,,cac0a97113f342e387a36a7edf756fa1
spotify:track:5hyq3LBlCfjRQAFkdQwe8o,e402c4fafcf24aff8dddd3e672e29a22,2026-01-17T13:47:23Z,2,,cac0a97113f342e387a36a7edf756fa1
spotify:track:5pWHXtj4OyOLVoQZHpuXBK,e402c4fafcf24aff8dddd3e672e29a22,2026-01-17T13:47:23Z,2,,cac0a97113f342e387a36a7edf756fa1
spotify:track:6HZ9VeI5IRFCNQLXhpF4bq,e402c4fafcf24aff8dddd3e672e29a22,2026-01-17T13:47:23Z,0,I think I ate this one,cac0a97113f342e387a36a7edf756fa1
